name,kd_differential,str_differential,td_differential,sub_differential,winrate,winstreak,losestreak,totalwins,totalfights,titlefights,titlewins,age_deviation,opp_avg_elo,elo,dob,kowin,koloss,subwin,subloss,udecwin,udecloss,mdecwin,mdecloss,sdecwin,sdecloss
Hailey Cowan,0.0,-3.0,1.0,-0.5,0.5,0,2,2,4,0,0,2274,1001.0193555806808,997.3249513256827,"Feb 12, 1992",0,0,0,0,1,1,0,0,1,1
Jeff Cox,0.0,-2.3333333333333335,0.3333333333333333,-1.0,0.0,0,3,0,3,0,0,5363,1011.5735826279624,953.6712793777815,"Aug 02, 1968",0,0,1,2,0,0,0,0,0,0
Nathan Coy,-0.125,8.5,0.5,-0.625,0.375,0,1,3,8,0,0,5020,1014.3316355694158,971.8287996670417,"Jul 24, 1978",1,2,1,2,1,0,0,0,0,1
Andrew Craig,-0.4444444444444444,-9.777777777777779,-1.0,-0.5555555555555556,0.4444444444444444,0,4,4,9,0,0,1648,1042.5662436750595,989.1029999614614,"Jan 15, 1986",2,1,1,0,1,3,0,0,1,0
Paul Craig,-0.1111111111111111,-3.3333333333333335,0.5555555555555556,0.7777777777777778,0.6111111111111112,1,0,11,18,0,0,3896,1044.6761214733026,1086.0378228635211,"Nov 27, 1987",3,4,5,4,0,1,0,0,0,0
Dan Cramer,0.0,-8.666666666666666,-2.0,-3.6666666666666665,0.6666666666666666,0,1,2,3,0,0,443,1002.7408454419659,1014.9453787895683,"Oct 31, 1985",0,0,0,0,0,1,0,0,1,1
Alberto Crane,0.3333333333333333,-21.0,-0.3333333333333333,2.6666666666666665,0.0,0,3,0,3,0,0,2390,1104.5282114376787,965.9104844897274,"Jul 14, 1976",1,2,0,0,0,0,0,0,0,0
Tim Credeur,0.0,5.0,-0.3333333333333333,1.3333333333333333,0.6666666666666666,0,2,4,6,0,0,3258,1011.0634089273467,1027.089025236497,"Jul 09, 1977",2,2,0,1,0,1,0,0,0,0
Paul Creighton,0.0,-33.0,3.0,0.0,0.0,0,2,0,2,0,0,2538,1077.5921882163857,974.4855097324689,"Jun 04, 1970",1,1,0,0,0,0,0,0,0,0
Helena Crevar,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Alexander Crispim,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,0,0,0,0,1,1,0,0,0,0
Alex Crispin,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,990.2943595532115,1031.8035135166106,--,0,0,0,0,1,1,0,0,0,0
Kevin Croom,0.0,-2.2,-1.2,0.2,0.0,0,3,0,5,0,0,3569,1054.617884284879,963.8579036508181,"Jul 15, 1987",1,0,0,0,1,1,0,0,0,0
Kiefer Crosbie,0.0,10.0,-1.0,-1.0,0.0,0,2,0,2,0,0,3085,1023.2652492355122,969.4695015289755,"Apr 05, 1990",0,0,1,1,0,0,0,0,0,0
Ken Cross,0.0,12.0,0.0,-2.0,1.0,2,0,2,2,0,0,325,1005.2265380741505,1033.2055471453418,"Oct 04, 1994",0,0,0,0,1,1,0,0,0,0
Jeff Crotty,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Allen Crowder,-0.4,5.6,1.0,0.6,0.6,0,1,3,5,0,0,1693,1017.464491270746,1016.4624547802119,"Nov 08, 1989",1,3,0,0,0,0,0,0,0,0
Daron Cruickshank,0.35714285714285715,-0.9285714285714286,0.9285714285714286,-0.8571428571428571,0.5,0,3,7,14,0,0,2052,1019.6246130095503,1005.521664016183,"Jun 11, 1985",3,0,0,4,2,3,0,0,1,0
Richard Crunkilton,-0.75,4.25,0.5,-1.625,0.375,0,2,3,8,1,0,1787,1011.0622267420845,973.9891040211373,"Nov 25, 1979",1,1,1,0,3,2,0,0,0,0
Jimmy Crute,0.0,5.636363636363637,1.3636363636363635,0.5454545454545454,0.5454545454545454,0,3,6,11,0,0,862,1044.4909383281004,1033.1913480129451,"Mar 04, 1996",1,5,2,2,0,0,0,0,0,0
Marcio Cruz,0.0,10.2,-1.2,0.2,0.6,0,2,3,5,0,0,1352,1029.6513445669848,1017.6881887730285,"Apr 24, 1978",2,0,1,1,0,0,0,0,0,1
Dominick Cruz,-0.3,20.55,2.8,-0.15,0.75,0,1,15,20,11,7,4546,1066.6303820518433,1149.4815625042856,"Mar 09, 1985",2,2,1,1,8,3,0,0,2,1
Aalon Cruz,0.2,-0.2,0.0,0.0,0.4,0,3,2,5,0,0,2365,1009.8166775663682,982.84948428759,"Sep 20, 1989",2,3,0,0,0,0,0,0,0,0
Timothy Cuamba,0.0,-24.0,-1.0,0.0,1.0,2,0,2,2,0,0,157,976.7347507644877,1030.5304984710244,"Feb 08, 1999",0,0,0,0,1,1,0,0,0,0
Jay Cucciniello,0.0,-57.0,-2.0,0.0,0.0,0,2,0,2,2,0,2546,1023.2652492355122,969.4695015289755,"Jul 23, 1986",0,0,0,0,1,1,0,0,0,0
Emilio Cuellar,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Josh Culibao,0.25,-6.625,-1.0,-1.0,0.5,0,1,4,8,0,0,1526,1018.9417516804231,1024.8447841514412,"May 24, 1994",1,1,0,1,1,2,0,0,0,1
Chris Culley,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,498,1054.0462913054162,972.3366259841074,"Mar 25, 1986",1,1,0,0,0,0,0,0,0,0
Abel Cullum,0.0,7.75,4.25,0.75,0.5,0,2,2,4,0,0,203,982.9608556975209,993.9388585240857,"Apr 21, 1987",0,0,0,2,1,1,0,0,0,0
Zak Cummings,0.5,-1.875,-0.25,-0.25,0.625,2,0,10,16,0,0,5010,1028.977724097733,1073.4391936374905,"Aug 02, 1984",2,0,3,4,4,2,0,0,0,1
Everett Cummings,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Patrick Cummins,-0.3125,8.5,1.4375,-0.0625,0.5625,0,3,9,16,0,0,4937,1048.9348973216813,1031.085830061981,"Nov 16, 1980",3,7,1,0,2,2,0,0,1,0
Luke Cummo,0.5,2.5,-3.75,-0.375,0.375,0,2,3,8,2,0,1206,1006.2951394999341,973.625639854703,"Apr 27, 1980",2,0,0,0,2,3,0,1,0,0
Hugo Cunha,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Feb 04, 1993",0,0,0,0,0,0,0,0,0,0
Alton Cunningham,-0.6666666666666666,-17.666666666666668,0.6666666666666666,0.0,0.0,0,3,0,3,0,0,372,1031.6807041687002,956.2894008337255,"Jun 24, 1993",1,1,0,0,0,1,0,0,0,0
AJ Cunningham,-1.0,-34.0,0.0,0.0,0.0,0,2,0,2,0,0,1472,1025.7616957498433,969.7035177391621,"Sep 07, 1994",1,1,0,0,0,0,0,0,0,0
Santo Curatolo,0.0,-70.0,2.0,-1.0,0.0,0,2,0,2,0,0,618,1023.2652492355122,969.4695015289755,"Jan 18, 1995",0,0,0,0,1,1,0,0,0,0
Larry Cureton,0.0,1.0,-1.0,-1.5,0.0,0,4,0,4,0,0,1825,1018.7786285577445,941.0859109182448,--,0,0,2,2,0,0,0,0,0,0
Jeff Curran,-0.06666666666666667,-9.666666666666666,-2.066666666666667,0.8,0.4,0,2,6,15,1,0,3549,1010.4337736805593,961.6159095364277,"Sep 02, 1977",0,0,2,3,4,5,0,0,0,1
Kailin Curran,0.0,-17.4,-0.3,-0.5,0.1,0,6,1,10,0,0,600,1012.9346701723774,894.3980914681517,"Apr 11, 1991",1,1,2,1,3,2,0,0,0,0
Pat Curran,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Aug 31, 1987",0,0,0,0,0,0,0,0,0,0
Chris Curtis,0.5555555555555556,-6.333333333333333,-0.3333333333333333,-0.2222222222222222,0.6666666666666666,0,1,6,9,0,0,3989,1040.2789575558372,1062.8476055553551,"Jul 15, 1987",2,3,0,0,1,2,0,0,0,0
Ion Cutelaba,-0.0625,7.75,1.625,-0.4375,0.375,1,0,6,16,0,0,1589,1037.6117533940796,984.3644152706771,"Dec 14, 1993",4,3,1,4,2,1,0,0,0,0
Gleidson Cutis,-2.0,-23.0,0.0,0.0,0.0,0,2,0,2,0,0,1653,1023.2652492355122,969.4695015289755,"Feb 07, 1989",1,1,0,0,0,0,0,0,0,0
Sarah D'alelio,0.0,1.0,0.0,-1.0,0.0,0,2,0,2,0,0,2074,1023.2652492355122,969.4695015289755,"Dec 13, 1980",0,0,1,1,0,0,0,0,0,0
Marcos da Matta,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,4342,1023.2652492355122,969.4695015289755,"Mar 18, 1973",0,0,1,1,0,0,0,0,0,0
Henrique da Silva,-0.6923076923076923,-12.0,-0.9230769230769231,-1.0769230769230769,0.3076923076923077,0,9,4,13,0,0,1446,1011.2683003533922,921.1207007929254,"Sep 01, 1989",3,2,2,2,2,2,0,0,0,0
Alex Da Silva,0.16666666666666666,-4.833333333333333,1.1666666666666667,-0.6666666666666666,0.3333333333333333,0,2,2,6,0,0,492,1014.6216944324038,974.3364266831871,"Feb 04, 1996",0,0,1,1,1,2,0,1,0,0
Igor Da Silva,2.0,38.0,5.0,0.0,1.0,2,0,2,2,0,0,1669,976.7347507644877,1030.5304984710244,"Apr 21, 2003",1,1,0,0,0,0,0,0,0,0
Henrique Da Silva Lopes,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Mar 08, 1985",0,0,0,0,0,0,0,0,0,0
Daermisi Zhawupasi,0.0,-7.333333333333333,0.0,1.0,0.6666666666666666,0,1,2,3,0,0,558,1000.0,1014.5304984710244,"Mar 13, 2000",0,1,1,1,0,0,0,0,0,0
Nicolas Dalby,-0.3333333333333333,5.583333333333333,0.25,-0.16666666666666666,0.5833333333333334,3,0,7,12,0,0,4967,1026.2359133786692,1069.8712987746023,"Nov 16, 1984",0,0,0,0,5,2,0,0,1,2
Paul Daley,0.6666666666666666,3.8,-0.4666666666666667,-0.13333333333333333,0.6666666666666666,0,3,10,15,1,0,1478,1043.6162913937576,1067.0293712195405,"Feb 21, 1983",7,4,0,1,0,2,0,0,0,1
Dave Dalgliesh,0.0,-2.0,0.0,-1.0,0.0,0,2,0,2,0,0,1277,1077.8191617467628,974.5059627584434,"Apr 05, 1978",0,0,1,1,0,0,0,0,0,0
Richard Dalton,0.0,-31.0,1.0,-11.0,0.0,0,2,0,2,0,0,1825,1091.4235313635468,975.7211059449735,--,0,0,0,0,1,1,0,0,0,0
Aisling Daly,0.0,14.25,0.25,0.5,0.75,1,0,3,4,0,0,1041,975.7377070624163,1026.0703748831088,"Dec 24, 1987",0,0,1,1,0,2,0,0,0,0
Marko Damiani,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Leonardo Damiani,-1.0,-6.0,-1.0,0.0,0.0,0,2,0,2,0,0,2199,1023.2652492355122,969.4695015289755,"Aug 30, 1990",1,1,0,0,0,0,0,0,0,0
Rodrigo Damm,-0.2727272727272727,-20.727272727272727,-0.18181818181818182,0.18181818181818182,0.36363636363636365,0,3,4,11,2,0,3628,1038.1816663793404,972.8684138541241,"Feb 03, 1980",1,3,1,1,1,2,0,0,2,0
Carina Damm,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,986.0937433449217,965.9815046323774,--,0,0,1,1,0,0,0,0,0,0
Batgerel Danaa,0.375,14.625,-0.875,0.0,0.375,0,3,3,8,0,0,3220,1011.6646742281416,973.3365157644661,"Jul 04, 1989",2,3,0,0,1,2,0,0,0,0
Cindy Dandois,0.0,-4.0,5.0,-2.0,0.0,0,2,0,2,0,0,2741,1080.25341712208,974.7249638391639,"Oct 26, 1984",0,0,0,0,1,1,0,0,0,0
Peter Danesoe,0.6666666666666666,-1.6666666666666667,-1.6666666666666667,-0.3333333333333333,0.6666666666666666,0,1,2,3,0,0,730,1000.4047969328631,1014.5891227180211,"Sep 01, 2000",1,1,0,1,0,0,0,0,0,0
Jarjis Danho,0.2,-23.6,0.4,0.0,0.2,1,0,1,5,0,0,4567,1019.2146741024555,992.4426488714058,"Oct 15, 1983",1,0,0,0,0,0,1,1,0,0
Raymond Daniels,0.0,-13.0,-2.0,0.0,0.0,0,2,0,2,0,0,1825,982.6375820707344,965.658521564292,--,0,0,1,1,0,0,0,0,0,0
Marques Daniels,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,0,0,0,0,1,1,0,0,0,0
Alexandre Dantas,-0.6666666666666666,-15.333333333333334,1.3333333333333333,0.3333333333333333,0.0,0,3,0,3,0,0,360,1017.3095483731062,954.4303402845653,"Mar 01, 1979",1,2,0,0,0,0,0,0,0,0
Eduardo Dantas,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Feb 03, 1989",0,0,0,0,0,0,0,0,0,0
Mac Danzig,0.0,-0.4375,-0.9375,-0.375,0.3125,0,3,5,16,1,1,3275,1043.3467122749107,952.0115827396558,"Jan 02, 1980",1,2,1,3,2,6,0,0,0,1
Karen Darabedyan,0.0,5.25,1.0,-0.5,0.5,0,2,2,4,0,0,540,989.8327476622667,995.0871515214569,"Dec 18, 1986",0,0,0,2,0,0,0,0,1,1
Beneil Dariush,0.08333333333333333,9.875,0.7083333333333334,0.08333333333333333,0.7083333333333334,0,1,17,24,0,0,3328,1060.6345922614103,1159.105282224868,"May 06, 1989",5,3,4,3,6,0,0,0,2,0
Sean Daugherty,0.0,-1.0,-1.0,-1.0,0.0,0,2,0,2,0,0,2453,1014.3470101406094,968.6124879053222,"Dec 04, 1975",0,0,1,1,0,0,0,0,0,0
Kyle Daukaus,-0.4444444444444444,7.333333333333333,0.8888888888888888,1.4444444444444444,0.4444444444444444,0,2,4,9,0,0,1746,1030.3994819978268,1003.9482504602245,"Feb 27, 1993",1,1,1,0,3,2,0,0,0,0
Chris Daukaus,0.4444444444444444,6.222222222222222,0.0,0.0,0.5555555555555556,0,4,5,9,0,0,3249,1052.6021189037012,1020.5777548002958,"Sep 25, 1989",4,5,0,0,0,0,0,0,0,0
Brian Davidson,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,1,1,0,0,0,0,0,0,0,0
Rick Davis,-1.0,-5.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1034.1301733951027,970.4865565860741,--,1,1,0,0,0,0,0,0,0,0
Marcus Davis,0.23529411764705882,-1.3529411764705883,-0.058823529411764705,0.29411764705882354,0.5882352941176471,0,2,10,17,0,0,4519,1034.3873707659695,1043.4248858191843,"Aug 24, 1973",4,4,4,1,0,2,0,0,1,1
LC Davis,0.0,-4.125,0.0,-0.625,0.75,0,2,6,8,0,0,1846,1012.1910526111453,1053.333418109099,"Oct 28, 1980",0,0,0,1,3,1,1,0,1,1
Phil Davis,0.0,20.4,1.9333333333333333,0.4,0.6666666666666666,0,1,10,15,0,0,1953,1075.2465322577777,1112.514485594329,"Sep 25, 1984",0,0,2,1,6,3,0,0,1,0
Lemont Davis,0.0,-2.4,0.4,0.0,0.4,0,3,2,5,0,0,1825,997.9645308231826,980.1876168586762,--,0,1,1,1,1,1,0,0,0,0
Mike Davis,0.0,-7.666666666666667,1.3333333333333333,0.0,0.6666666666666666,4,0,6,9,0,0,1826,1003.7096979175034,1047.34421370019,"Oct 07, 1992",1,0,1,0,3,4,0,0,0,0
Justin Davis,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,451,1018.8289322216503,969.0532909428681,"Apr 01, 1983",0,0,1,1,0,0,0,0,0,0
Alexis Davis,0.0,2.1578947368421053,-0.47368421052631576,0.3684210526315789,0.631578947368421,1,0,12,19,1,0,4513,1017.8638595812059,1050.9440525183004,"Oct 04, 1984",1,1,1,1,7,5,0,1,1,1
Danny Davis,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1524,994.3066904839022,966.7506807700696,"Jul 28, 1982",0,0,1,1,0,0,0,0,0,0
Brandon Davis,-0.3333333333333333,2.0833333333333335,-1.5833333333333333,-0.16666666666666666,0.4166666666666667,0,4,5,12,0,0,2723,1005.220627259268,963.417079731287,"May 08, 1990",1,0,1,2,4,1,0,0,1,2
Hakeem Dawodu,0.0,26.833333333333332,-1.4166666666666667,-0.3333333333333333,0.5833333333333334,0,2,7,12,0,0,2604,1025.5480855283274,1034.838807118732,"Jul 02, 1991",1,1,1,1,1,4,0,0,1,2
Grant Dawson,0.0,8.916666666666666,2.25,0.8333333333333334,0.8333333333333334,0,1,10,12,0,0,1696,1030.6221729749943,1124.8567839907307,"Feb 20, 1994",1,1,5,1,3,0,0,0,0,0
Jason Day,-0.2,0.0,-0.6,0.0,0.2,0,2,1,5,0,0,1029,1055.0486668389053,966.2358385543721,"May 19, 1981",2,3,0,0,0,0,0,0,0,0
Martin Day,0.0,6.333333333333333,-0.8333333333333334,-0.3333333333333333,0.0,0,6,0,6,0,0,2651,1010.7893617045638,913.1916078532864,"Nov 10, 1988",0,1,0,1,1,2,0,0,0,1
Angel De Anda,1.0,-2.0,0.0,-1.0,0.0,0,2,0,2,0,0,2614,994.7734619258493,966.7944528546583,"May 28, 1985",0,0,1,1,0,0,0,0,0,0
Yorgan De Castro,0.42857142857142855,-5.857142857142857,-0.5714285714285714,0.0,0.5714285714285714,0,3,4,7,0,0,3406,993.5766510571772,1004.3491816045455,"Dec 19, 1986",3,2,0,0,0,2,0,0,0,0
Geraldo de Freitas,0.0,18.75,0.25,0.0,0.5,0,2,2,4,0,0,1513,1001.4778288496375,997.4011840122731,"Sep 30, 1991",0,0,0,0,1,1,0,0,0,2
Philip De Fries,-0.16666666666666666,-5.666666666666667,1.5,-0.5,0.5,0,2,3,6,0,0,722,1012.7917220358153,998.5531713604307,"Apr 21, 1986",0,3,1,0,1,1,0,0,0,0
Chris de la Rocha,-0.3333333333333333,-16.833333333333332,0.3333333333333333,0.3333333333333333,0.16666666666666666,0,1,1,6,0,0,5334,1007.5573914380525,944.3967836472199,"May 15, 1979",3,3,0,0,0,0,0,0,0,0
Montana De La Rosa,0.08333333333333333,-5.916666666666667,0.6666666666666666,0.4166666666666667,0.5,0,3,6,12,0,0,1337,1029.204387612743,1011.2281710355793,"Feb 14, 1995",1,0,3,2,4,1,0,0,0,0
Mark De La Rosa,-0.2222222222222222,-17.77777777777778,-0.2222222222222222,-0.2222222222222222,0.3333333333333333,0,4,3,9,0,0,293,1013.8472701422883,959.8428949624562,"Aug 31, 1994",0,1,2,2,0,3,0,0,1,0
Mike de la Torre,0.0,-8.222222222222221,-1.0,-0.6666666666666666,0.2222222222222222,0,2,2,9,0,0,2031,1027.007122256671,968.2350490043506,"Sep 22, 1986",2,1,0,1,0,0,0,0,2,1
Rodrigo de Lima,-1.0,-40.0,-0.3333333333333333,1.3333333333333333,0.0,0,3,0,3,0,0,385,1041.4176005094869,957.5900943230829,"Mar 12, 1991",1,1,0,0,0,1,0,0,0,0
Edilberto de Oliveira,-1.0,-21.666666666666668,0.0,0.0,0.0,0,3,0,3,0,0,58,1017.1166774369289,954.402510392805,"Nov 22, 1982",2,1,0,0,0,0,0,0,0,0
Johil de Oliveira,0.0,-3.0,-1.5,-0.5,0.0,0,4,0,4,0,0,1825,1036.956429398614,944.0842959909878,--,0,0,1,1,1,1,0,0,0,0
Jorge de Oliveira,0.0,-37.333333333333336,-4.333333333333333,-3.0,0.0,0,3,0,3,0,0,3717,992.4758274960149,951.0399635979709,"Jan 22, 1980",0,0,0,1,1,1,0,0,0,0
Isabela de Padua,-1.0,-16.0,2.0,0.0,0.0,0,2,0,2,0,0,1175,982.729333605955,965.667089544605,"Sep 04, 1991",0,0,0,0,1,1,0,0,0,0
Gloria de Paula,-0.16666666666666666,20.833333333333332,-1.0,0.3333333333333333,0.5,0,1,3,6,0,0,745,978.5499946317324,990.8973171860458,"Jun 10, 1995",0,1,0,0,1,3,0,0,0,1
Germaine de Randamie,0.35714285714285715,7.785714285714286,-1.7142857142857142,0.21428571428571427,0.7857142857142857,1,0,11,14,2,1,4186,1014.2508977546352,1110.7460367076028,"Apr 24, 1984",4,3,1,0,4,1,0,0,1,0
Crezio de Souza,0.0,-7.0,1.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,1,1,0,0,0,0,0,0,0,0
Carl Deaton,-0.3333333333333333,-3.0,-2.3333333333333335,-2.0,0.0,0,3,0,3,0,0,3161,1066.0118279173664,960.838935588352,"Nov 24, 1989",0,0,1,1,0,1,0,0,0,0
Tom DeBlass,0.0,-45.0,-1.0,0.6666666666666666,0.0,0,3,0,3,0,0,2013,1012.4694243657236,953.8111822593751,"May 14, 1982",0,0,0,0,0,1,1,1,0,0
Issac DeJesus,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,0,0,1,1,0,0,0,0,0,0
Rafael  Del Real,0.0,4.0,1.0,-1.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,0,0,1,1,0,0,0,0,0,0
Shane del Rosario,-0.5,1.6666666666666667,-0.8333333333333334,0.8333333333333334,0.6666666666666666,0,2,4,6,0,0,1551,1009.2659878688874,1026.7514303928585,"Sep 23, 1983",2,1,2,1,0,0,0,0,0,0
Wallen Del Rosario,0.0,-50.0,1.0,0.0,0.0,0,2,0,2,0,0,1550,994.7734619258493,966.7944528546583,"Mar 18, 1993",0,0,0,0,1,1,0,0,0,0
Humberto DeLeon,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1538,1023.2652492355122,969.4695015289755,"Nov 12, 1989",0,0,0,0,0,0,0,0,1,1
Rolando Delgado,0.0,1.75,0.5,1.25,0.5,0,2,2,4,0,0,1094,1010.4630894865227,998.7915872509399,"Nov 22, 1981",0,1,1,1,0,1,0,0,0,0
Israel Delgado,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Ante Delija,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Aug 07, 1990",0,0,0,0,0,0,0,0,0,0
Jack Della Maddalena,0.6,24.6,-0.7,-0.2,1.0,10,0,10,10,0,0,742,1017.9234419989727,1144.5273800582167,"Sep 10, 1996",3,1,0,1,1,1,0,0,2,1
Roland Delorme,0.2,-15.5,0.7,0.3,0.4,0,5,4,10,0,0,2081,1002.1924948537802,972.8000390719508,"Dec 18, 1983",0,0,3,2,2,1,0,0,1,0
Jon Delos Reyes,0.6,-3.8,0.4,-0.2,0.2,0,1,1,5,0,0,1168,1017.0522343963157,959.1723682708432,"Aug 19, 1987",0,1,2,2,0,0,0,0,0,0
Jason DeLucia,0.0,1.1428571428571428,-0.14285714285714285,1.5714285714285714,0.5714285714285714,0,2,4,7,0,0,1950,1008.8823342169829,1010.4174796819748,"Jul 24, 1969",1,1,2,3,0,0,0,0,0,0
Justin DeMoney,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,41,1051.7662769569924,972.1260693796585,"Jul 01, 1985",0,0,1,1,0,0,0,0,0,0
Vanessa Demopoulos,0.0,-21.625,-0.625,0.75,0.5,1,0,4,8,0,0,3673,1001.3548358159366,1006.8972947738738,"Sep 22, 1988",0,0,1,0,4,2,0,0,1,0
Chris Dempsey,-0.5,-5.333333333333333,-0.3333333333333333,0.0,0.16666666666666666,0,3,1,6,0,0,1274,1013.912731069839,943.0485857005973,"Sep 08, 1987",3,2,0,0,0,0,0,0,1,0
Nick Denis,0.6666666666666666,4.666666666666667,0.0,-0.6666666666666666,0.6666666666666666,0,1,2,3,0,0,1309,980.9585358235105,1011.9962677068501,"Oct 11, 1983",1,1,1,0,0,0,0,0,0,0
Thomas Denny,-0.2,-17.6,-2.0,0.2,0.0,0,5,0,5,0,0,4488,1062.2157380933527,936.5213208314866,"Apr 19, 1971",1,2,0,1,0,1,0,0,0,0
Robert Densley,1.0,7.0,-1.0,-3.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,0,0,1,1,0,0,0,0,0,0
Jason Dent,0.0,-19.666666666666668,-3.3333333333333335,0.8333333333333334,0.3333333333333333,0,1,2,6,0,0,1629,1005.8083600845757,974.517704254556,"Jun 12, 1980",0,0,1,2,1,2,0,0,0,0
Mackenzie Dern,0.0,-7.583333333333333,0.5,1.25,0.75,1,0,9,12,0,0,1889,1003.1358584488548,1076.433075769872,"Mar 24, 1993",0,0,2,2,2,2,0,1,2,1
Booker DeRousse,0.0,0.0,0.0,0.0,0.8,2,0,4,5,0,0,1723,991.0814165726251,1043.792179926914,"Mar 23, 1981",2,2,0,0,0,0,0,0,1,0
Tony DeSouza,-0.3333333333333333,0.3333333333333333,0.75,-0.3333333333333333,0.6666666666666666,0,2,8,12,0,0,3084,994.7508382942509,1039.9804499829056,"Jul 26, 1974",4,2,2,2,1,1,0,0,0,0
Cory Devela,-0.4,0.6,-0.2,-0.2,0.4,0,3,2,5,0,0,1825,1027.975202635891,986.4798354729687,--,1,2,0,1,0,0,0,0,0,1
John Devine,-0.6666666666666666,-0.6666666666666666,0.0,0.0,0.3333333333333333,1,0,1,3,0,0,1825,1019.0414641764896,988.0037322931499,--,1,1,0,1,0,0,0,0,0,0
Edwin DeWees,-0.8,-19.4,0.6,0.6,0.0,0,5,0,5,0,0,353,1097.937383668052,943.7676255545838,"Aug 07, 1982",1,3,0,1,0,0,0,0,0,0
Alessio Di Chirico,0.0,-0.9230769230769231,0.6153846153846154,-0.38461538461538464,0.3076923076923077,0,2,4,13,0,0,2828,1008.8270604875676,936.4717666669807,"Dec 12, 1989",0,4,0,1,3,3,0,0,2,0
Micol Di Segni,0.0,24.0,-5.0,0.0,0.0,0,2,0,2,0,0,2432,1023.2652492355122,969.4695015289755,"Dec 29, 1987",0,0,0,0,1,1,0,0,0,0
Cyrille Diabate,0.09090909090909091,16.636363636363637,-1.1818181818181819,-1.0,0.45454545454545453,0,2,5,11,0,0,5638,1043.2308846285132,1002.8604667610871,"Oct 06, 1973",1,3,1,3,0,1,1,1,0,0
Thomas Diagne,0.0,0.0,0.0,0.0,0.25,0,6,2,8,0,0,905,1011.5500296517871,939.3650950489523,"Sep 03, 1983",1,1,1,1,2,2,0,0,0,0
Marc Diakiese,0.06666666666666667,1.3333333333333333,1.7333333333333334,-0.2,0.5333333333333333,0,2,8,15,0,0,1960,1003.0562100632708,1002.0620402094204,"Mar 16, 1993",2,1,2,1,4,4,0,0,0,1
Tyler Diamond,0.0,13.0,0.0,-1.0,0.0,0,2,0,2,0,0,847,1023.2652492355122,969.4695015289755,"Mar 18, 1991",0,0,0,0,0,0,1,1,0,0
Blood Diamond,0.0,5.6,-1.4,-0.4,0.0,0,5,0,5,0,0,3719,1037.0994704336433,931.6679850664119,"Jul 10, 1988",0,0,1,1,2,1,0,0,0,0
Eldo Xavier Dias,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1985,1008.3343238265209,968.0676591404803,"Jul 16, 1964",1,1,0,0,0,0,0,0,0,0
Rafael Dias,0.0,-14.5,2.25,0.0,0.25,0,1,1,4,0,0,1761,999.955851690931,969.6746893189686,"Oct 20, 1979",1,1,0,0,0,2,0,0,0,0
Hacran Dias,-0.4444444444444444,-16.444444444444443,1.4444444444444444,0.0,0.4444444444444444,0,3,4,9,0,0,3062,1059.7006150087875,998.9242977812379,"Jun 16, 1984",0,0,0,0,2,6,0,0,1,0
Victor Dias,0.0,-44.0,5.0,0.0,0.0,0,2,0,2,0,0,2788,1023.2652492355122,969.4695015289755,"Dec 26, 1990",0,0,0,0,1,1,0,0,0,0
