Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Heavyweight Bout,Martin Buday,Josh Parisian,False,Submission,1,4:11,,Herb Dean,,Josh Parisian,0,26 of 61,42%,27 of 63,0 of 0,---,0,0,0:13,26 of 61,15 of 49,6 of 7,5 of 5,20 of 47,6 of 14,0 of 0,Martin Buday,0,42 of 67,62%,62 of 91,1 of 1,100%,1,0,1:56,42 of 67,35 of 60,7 of 7,0 of 0,28 of 49,14 of 18,0 of 0
Women's Strawweight Bout,Jaqueline Amorim,Montserrat Conejo Ruiz,False,KO/TKO,3,3:41,,Chris Tognoni,,Jaqueline Amorim,0,86 of 136,63%,141 of 208,1 of 3,33%,4,2,8:05,86 of 136,76 of 120,9 of 14,1 of 2,6 of 15,0 of 0,80 of 121,Montserrat Conejo Ruiz,0,6 of 36,16%,20 of 57,1 of 1,100%,0,0,3:39,6 of 36,2 of 29,2 of 4,2 of 3,5 of 31,0 of 1,1 of 4
Bantamweight Bout,Da'Mon Blackshear,Jose Johnson,False,Submission,1,3:47,,Mark Smith,,Da'Mon Blackshear,0,18 of 30,60%,30 of 46,2 of 4,50%,1,0,2:57,18 of 30,7 of 16,2 of 5,9 of 9,5 of 13,6 of 8,7 of 9,Jose Johnson,0,8 of 12,66%,16 of 21,0 of 0,---,0,0,0:00,8 of 12,4 of 7,2 of 3,2 of 2,7 of 9,0 of 2,1 of 1
Women's Flyweight Bout,Luana Santos,Juliana Miller,False,KO/TKO,1,3:41,,Jason Herzog,,Juliana Miller,0,24 of 75,32%,25 of 77,0 of 2,0%,0,0,0:29,24 of 75,15 of 61,9 of 13,0 of 1,18 of 64,6 of 11,0 of 0,Luana Santos,0,63 of 105,60%,64 of 106,0 of 0,---,0,0,0:26,63 of 105,44 of 82,16 of 20,3 of 3,53 of 88,10 of 17,0 of 0
Catch Weight Bout,Cory Sandhagen,Rob Font,False,Decision - Unanimous,5,5:00,,Jason Herzog,,Cory Sandhagen,0,34 of 84,40%,132 of 211,7 of 7,100%,1,0,19:38,34 of 84,30 of 79,2 of 3,2 of 2,10 of 47,0 of 1,24 of 36,Rob Font,0,9 of 49,18%,25 of 69,1 of 2,50%,0,0,1:08,9 of 49,5 of 43,2 of 3,2 of 3,8 of 44,0 of 3,1 of 2
Women's Strawweight Bout,Tatiana Suarez,Jessica Andrade,False,Submission,2,1:31,,Kevin MacDonald,,Jessica Andrade,0,11 of 29,37%,13 of 31,0 of 0,---,0,0,0:17,11 of 29,2 of 14,5 of 8,4 of 7,8 of 23,3 of 6,0 of 0,Tatiana Suarez,0,23 of 49,46%,25 of 51,3 of 3,100%,1,0,2:22,23 of 49,3 of 20,17 of 26,3 of 3,13 of 36,10 of 13,0 of 0
Light Heavyweight Bout,Dustin Jacoby,Kennedy Nzechukwu,False,KO/TKO,1,1:22,,Gary Copeland,,Dustin Jacoby,1,10 of 33,30%,10 of 33,0 of 0,---,0,0,0:04,10 of 33,5 of 28,0 of 0,5 of 5,10 of 26,0 of 0,0 of 7,Kennedy Nzechukwu,0,4 of 18,22%,4 of 18,0 of 0,---,0,0,0:00,4 of 18,3 of 14,0 of 3,1 of 1,4 of 18,0 of 0,0 of 0
Featherweight Bout,Diego Lopes,Gavin Tucker,False,Submission,1,1:38,,Jimmy Neely,,Diego Lopes,0,0 of 4,0%,0 of 4,0 of 0,---,3,0,0:00,0 of 4,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0,Gavin Tucker,0,0 of 6,0%,0 of 6,1 of 1,100%,0,0,0:39,0 of 6,0 of 6,0 of 0,0 of 0,0 of 6,0 of 0,0 of 0
Light Heavyweight Bout,Tanner Boser,Aleksa Camur,False,Decision - Unanimous,3,5:00,,Justin Brown,,Tanner Boser,0,120 of 215,55%,145 of 253,0 of 0,---,0,0,5:27,120 of 215,78 of 163,24 of 32,18 of 20,87 of 174,33 of 41,0 of 0,Aleksa Camur,0,68 of 136,50%,105 of 175,0 of 1,0%,0,0,1:01,68 of 136,34 of 97,25 of 28,9 of 11,46 of 108,22 of 28,0 of 0
Lightweight Bout,Ludovit Klein,Ignacio Bahamondes,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Ignacio Bahamondes,0,43 of 139,30%,62 of 166,0 of 1,0%,0,0,0:07,43 of 139,29 of 114,9 of 16,5 of 9,41 of 133,2 of 6,0 of 0,Ludovit Klein,0,56 of 108,51%,94 of 151,3 of 5,60%,0,0,6:05,56 of 108,36 of 82,11 of 16,9 of 10,43 of 88,1 of 1,12 of 19
Bantamweight Bout,Kyler Phillips,Raoni Barcelos,False,Decision - Unanimous,3,5:00,,Kevin MacDonald,,Kyler Phillips,1,72 of 187,38%,80 of 196,1 of 4,25%,0,0,0:47,72 of 187,40 of 146,18 of 26,14 of 15,62 of 174,6 of 8,4 of 5,Raoni Barcelos,0,46 of 116,39%,52 of 124,3 of 11,27%,0,0,1:42,46 of 116,20 of 87,15 of 17,11 of 12,39 of 105,7 of 10,0 of 1
Welterweight Bout,Carlston Harris,Jeremiah Wells,False,Submission,3,1:50,,Jason Herzog,,Jeremiah Wells,0,18 of 48,37%,41 of 78,3 of 5,60%,2,0,9:26,18 of 48,16 of 46,2 of 2,0 of 0,5 of 25,2 of 3,11 of 20,Carlston Harris,0,5 of 19,26%,19 of 36,0 of 1,0%,1,0,0:13,5 of 19,1 of 14,3 of 4,1 of 1,5 of 19,0 of 0,0 of 0
Featherweight Bout,Billy Quarantillo,Damon Jackson,False,Decision - Unanimous,3,5:00,,Kevin MacDonald,,Billy Quarantillo,0,100 of 188,53%,169 of 270,0 of 0,---,1,0,1:51,100 of 188,45 of 124,49 of 57,6 of 7,58 of 140,42 of 48,0 of 0,Damon Jackson,0,67 of 173,38%,75 of 184,3 of 13,23%,0,0,6:10,67 of 173,45 of 139,19 of 31,3 of 3,53 of 148,10 of 15,4 of 10
Flyweight Bout,Cody Durden,Jake Hadley,False,Decision - Unanimous,3,5:00,,Jimmy Neely,,Cody Durden,0,38 of 85,44%,63 of 122,4 of 6,66%,1,0,7:25,38 of 85,23 of 66,9 of 11,6 of 8,30 of 67,1 of 1,7 of 17,Jake Hadley,0,26 of 83,31%,45 of 106,0 of 3,0%,3,1,2:04,26 of 83,12 of 61,10 of 16,4 of 6,23 of 76,3 of 7,0 of 0
Featherweight Bout,Sean Woodson,Dennis Buzukja,False,Decision - Unanimous,3,5:00,,Justin Brown,,Sean Woodson,0,71 of 126,56%,163 of 229,4 of 5,80%,0,0,5:52,71 of 126,36 of 77,18 of 32,17 of 17,61 of 113,8 of 11,2 of 2,Dennis Buzukja,0,42 of 116,36%,46 of 121,0 of 1,0%,0,1,2:30,42 of 116,24 of 85,11 of 17,7 of 14,32 of 96,5 of 8,5 of 12
Flyweight Bout,Assu Almabayev,Ode Osbourne,False,Submission,2,3:11,,Gary Copeland,,Ode Osbourne,0,4 of 18,22%,8 of 22,0 of 0,---,0,0,0:21,4 of 18,4 of 16,0 of 2,0 of 0,3 of 17,0 of 0,1 of 1,Assu Almabayev,0,26 of 40,65%,52 of 78,2 of 5,40%,2,0,5:24,26 of 40,17 of 31,5 of 5,4 of 4,9 of 14,0 of 0,17 of 26
Lightweight Bout,Justin Gaethje,Dustin Poirier,False,KO/TKO,2,1:00,,Herb Dean,,Dustin Poirier,0,27 of 52,51%,27 of 52,0 of 0,---,0,0,0:00,27 of 52,21 of 46,4 of 4,2 of 2,25 of 49,2 of 3,0 of 0,Justin Gaethje,1,41 of 66,62%,41 of 66,0 of 0,---,0,0,0:00,41 of 66,23 of 48,7 of 7,11 of 11,38 of 63,2 of 2,1 of 1
Light Heavyweight Bout,Alex Pereira,Jan Blachowicz,False,Decision - Split,3,5:00,,Marc Goddard,,Jan Blachowicz,0,52 of 81,64%,82 of 117,3 of 8,37%,2,0,7:32,52 of 81,41 of 66,4 of 8,7 of 7,41 of 67,3 of 5,8 of 9,Alex Pereira,0,70 of 92,76%,112 of 138,0 of 0,---,1,0,0:06,70 of 92,26 of 46,23 of 24,21 of 22,62 of 83,7 of 8,1 of 1
Heavyweight Bout,Derrick Lewis,Marcos Rogerio de Lima,False,KO/TKO,1,0:33,,Dan Miragliotta,,Derrick Lewis,1,17 of 33,51%,20 of 36,0 of 0,---,0,0,0:29,17 of 33,16 of 32,1 of 1,0 of 0,1 of 1,0 of 0,16 of 32,Marcos Rogerio de Lima,0,1 of 1,100%,2 of 2,0 of 0,---,0,0,0:00,1 of 1,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
Lightweight Bout,Bobby Green,Tony Ferguson,False,Submission,3,4:54,,Dan Miragliotta,,Tony Ferguson,0,54 of 123,43%,62 of 138,0 of 3,0%,0,0,0:13,54 of 123,38 of 98,11 of 18,5 of 7,50 of 118,2 of 2,2 of 3,Bobby Green,0,137 of 217,63%,145 of 227,0 of 0,---,1,0,3:25,137 of 217,95 of 166,24 of 31,18 of 20,115 of 183,1 of 1,21 of 33
Welterweight Bout,Kevin Holland,Michael Chiesa,False,Submission,1,2:39,,Marc Goddard,,Michael Chiesa,0,4 of 11,36%,6 of 13,0 of 5,0%,0,0,0:15,4 of 11,4 of 11,0 of 0,0 of 0,3 of 7,1 of 4,0 of 0,Kevin Holland,0,9 of 16,56%,12 of 19,0 of 0,---,1,0,0:40,9 of 16,7 of 14,2 of 2,0 of 0,4 of 9,4 of 5,1 of 2
Welterweight Bout,Gabriel Bonfim,Trevin Giles,False,Submission,1,1:13,,Herb Dean,,Gabriel Bonfim,0,3 of 11,27%,3 of 11,1 of 1,100%,1,0,0:26,3 of 11,2 of 10,1 of 1,0 of 0,3 of 11,0 of 0,0 of 0,Trevin Giles,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:14,1 of 5,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0
Flyweight Bout,CJ Vergara,Vinicius Salvador,False,Decision - Unanimous,3,5:00,,Dave Seljestad,,CJ Vergara,0,109 of 181,60%,109 of 181,0 of 0,---,0,0,0:00,109 of 181,43 of 102,45 of 57,21 of 22,104 of 176,5 of 5,0 of 0,Vinicius Salvador,0,88 of 195,45%,89 of 196,0 of 2,0%,0,0,0:01,88 of 195,54 of 154,19 of 25,15 of 16,87 of 194,1 of 1,0 of 0
Middleweight Bout,Roman Kopylov,Claudio Ribeiro,False,KO/TKO,2,0:33,,Marc Goddard,,Roman Kopylov,1,32 of 42,76%,32 of 42,0 of 0,---,0,0,0:03,32 of 42,20 of 29,9 of 10,3 of 3,29 of 38,2 of 3,1 of 1,Claudio Ribeiro,0,32 of 59,54%,33 of 60,0 of 1,0%,0,0,0:16,32 of 59,18 of 45,7 of 7,7 of 7,29 of 56,3 of 3,0 of 0
Welterweight Bout,Jake Matthews,Darrius Flowers,False,Submission,2,2:37,,Tyler Tomlinson,,Jake Matthews,0,60 of 101,59%,71 of 113,0 of 1,0%,1,0,1:15,60 of 101,40 of 78,14 of 17,6 of 6,47 of 84,2 of 5,11 of 12,Darrius Flowers,0,36 of 64,56%,41 of 69,1 of 3,33%,0,0,1:03,36 of 64,21 of 48,6 of 6,9 of 10,31 of 57,5 of 7,0 of 0
Welterweight Bout,Uros Medic,Matthew Semelsberger,False,KO/TKO,3,2:36,,Tyler Tomlinson,,Matthew Semelsberger,1,52 of 120,43%,53 of 121,0 of 2,0%,0,0,1:13,52 of 120,31 of 91,8 of 14,13 of 15,42 of 106,3 of 5,7 of 9,Uros Medic,1,69 of 128,53%,76 of 135,1 of 1,100%,0,0,0:22,69 of 128,49 of 98,17 of 27,3 of 3,50 of 104,13 of 18,6 of 6
Women's Flyweight Bout,Miranda Maverick,Priscila Cachoeira,False,Submission,3,2:11,,Dave Seljestad,,Miranda Maverick,0,36 of 51,70%,105 of 132,3 of 9,33%,1,0,8:54,36 of 51,23 of 37,8 of 8,5 of 6,16 of 29,2 of 2,18 of 20,Priscila Cachoeira,0,11 of 23,47%,13 of 26,0 of 0,---,0,0,0:00,11 of 23,7 of 18,2 of 3,2 of 2,10 of 22,0 of 0,1 of 1
Heavyweight Bout,Tom Aspinall,Marcin Tybura,False,KO/TKO,1,1:13,,Marc Goddard,,Tom Aspinall,1,13 of 18,72%,13 of 18,0 of 0,---,0,0,0:05,13 of 18,12 of 17,1 of 1,0 of 0,7 of 10,0 of 0,6 of 8,Marcin Tybura,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:00,4 of 15,2 of 13,2 of 2,0 of 0,4 of 15,0 of 0,0 of 0
Women's Flyweight Bout,Julija Stoliarenko,Molly McCann,False,Submission,1,1:55,,Jason Herzog,,Molly McCann,0,6 of 16,37%,6 of 16,0 of 0,---,0,0,0:07,6 of 16,1 of 11,4 of 4,1 of 1,6 of 16,0 of 0,0 of 0,Julija Stoliarenko,0,9 of 29,31%,9 of 29,1 of 1,100%,1,0,0:19,9 of 29,4 of 20,2 of 3,3 of 6,9 of 29,0 of 0,0 of 0
Featherweight Bout,Nathaniel Wood,Andre Fili,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Nathaniel Wood,1,84 of 148,56%,108 of 174,1 of 2,50%,0,0,1:47,84 of 148,38 of 90,10 of 18,36 of 40,71 of 123,0 of 0,13 of 25,Andre Fili,1,58 of 151,38%,76 of 179,0 of 2,0%,0,1,2:55,58 of 151,45 of 134,7 of 10,6 of 7,53 of 144,3 of 5,2 of 2
Middleweight Bout,Paul Craig,Andre Muniz,False,KO/TKO,2,4:40,,Daniel Movahedi,,Paul Craig,0,40 of 82,48%,54 of 101,2 of 2,100%,1,0,2:56,40 of 82,31 of 66,8 of 15,1 of 1,10 of 32,0 of 0,30 of 50,Andre Muniz,0,24 of 40,60%,31 of 47,2 of 2,100%,0,0,1:47,24 of 40,15 of 30,2 of 3,7 of 7,15 of 27,1 of 1,8 of 12
Lightweight Bout,Fares Ziam,Jai Herbert,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Jai Herbert,0,49 of 134,36%,58 of 150,0 of 6,0%,0,0,4:12,49 of 134,7 of 79,23 of 31,19 of 24,38 of 119,11 of 15,0 of 0,Fares Ziam,0,61 of 113,53%,96 of 153,1 of 5,20%,0,0,1:30,61 of 113,29 of 74,19 of 23,13 of 16,45 of 93,16 of 20,0 of 0
Featherweight Bout,Lerone Murphy,Josh Culibao,False,Decision - Unanimous,3,5:00,,Loic Pora,,Lerone Murphy,1,59 of 109,54%,87 of 144,3 of 5,60%,2,0,7:38,59 of 109,37 of 81,15 of 18,7 of 10,24 of 61,12 of 14,23 of 34,Josh Culibao,0,23 of 59,38%,40 of 77,0 of 2,0%,0,0,1:30,23 of 59,16 of 48,5 of 6,2 of 5,19 of 53,4 of 6,0 of 0
Bantamweight Bout,Daniel Marcos,Davey Grant,False,Decision - Split,3,5:00,,Marc Goddard,,Davey Grant,0,70 of 215,32%,70 of 215,0 of 1,0%,0,0,0:06,70 of 215,17 of 127,27 of 55,26 of 33,70 of 213,0 of 2,0 of 0,Daniel Marcos,0,48 of 140,34%,49 of 141,1 of 1,100%,0,0,0:13,48 of 140,21 of 90,6 of 24,21 of 26,47 of 139,1 of 1,0 of 0
Welterweight Bout,Jonny Parsons,Danny Roberts,False,KO/TKO,2,4:57,,Jason Herzog,,Danny Roberts,0,44 of 133,33%,44 of 134,0 of 2,0%,0,0,0:05,44 of 133,27 of 111,14 of 19,3 of 3,44 of 132,0 of 1,0 of 0,Jonny Parsons,2,63 of 124,50%,69 of 133,0 of 0,---,0,0,1:26,63 of 124,42 of 95,12 of 19,9 of 10,51 of 101,7 of 15,5 of 8
Lightweight Bout,Joel Alvarez,Marc Diakiese,False,Submission,2,4:26,,Daniel Movahedi,,Marc Diakiese,0,20 of 46,43%,29 of 60,2 of 3,66%,0,0,3:09,20 of 46,8 of 25,6 of 11,6 of 10,20 of 46,0 of 0,0 of 0,Joel Alvarez,0,42 of 75,56%,64 of 98,0 of 1,0%,1,0,1:26,42 of 75,20 of 49,12 of 16,10 of 10,37 of 70,2 of 2,3 of 3
Heavyweight Bout,Mick Parkin,Jamal Pogues,False,Decision - Unanimous,3,5:00,,Loic Pora,,Mick Parkin,0,95 of 156,60%,98 of 159,0 of 0,---,0,0,0:00,95 of 156,37 of 94,16 of 20,42 of 42,92 of 151,3 of 5,0 of 0,Jamal Pogues,0,36 of 135,26%,37 of 136,0 of 1,0%,0,0,1:17,36 of 135,22 of 119,4 of 6,10 of 10,34 of 132,2 of 3,0 of 0
Middleweight Bout,Makhmud Muradov,Bryan Barberena,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Makhmud Muradov,2,54 of 97,55%,68 of 114,13 of 16,81%,0,0,5:10,54 of 97,39 of 77,15 of 20,0 of 0,46 of 79,5 of 11,3 of 7,Bryan Barberena,0,28 of 81,34%,81 of 138,0 of 1,0%,0,0,0:02,28 of 81,13 of 56,2 of 4,13 of 21,27 of 79,1 of 2,0 of 0
Women's Bantamweight Bout,Ketlen Vieira,Pannie Kianzad,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Ketlen Vieira,0,15 of 33,45%,65 of 103,3 of 3,100%,3,0,10:49,15 of 33,13 of 31,1 of 1,1 of 1,8 of 25,1 of 2,6 of 6,Pannie Kianzad,0,22 of 51,43%,92 of 144,0 of 0,---,0,1,2:11,22 of 51,17 of 45,3 of 4,2 of 2,10 of 30,0 of 0,12 of 21
Lightweight Bout,Chris Duncan,Yanal Ashmouz,False,Decision - Unanimous,3,5:00,,Loic Pora,,Chris Duncan,0,85 of 206,41%,87 of 209,2 of 4,50%,0,0,0:48,85 of 206,54 of 161,23 of 30,8 of 15,82 of 200,3 of 6,0 of 0,Yanal Ashmouz,0,35 of 98,35%,36 of 100,0 of 1,0%,0,0,0:00,35 of 98,15 of 68,8 of 14,12 of 16,34 of 96,1 of 2,0 of 0
Women's Strawweight Bout,Bruna Brasil,Shauna Bannon,False,Decision - Unanimous,3,5:00,,Daniel Movahedi,,Shauna Bannon,0,54 of 144,37%,124 of 223,0 of 2,0%,0,0,1:05,54 of 144,22 of 84,19 of 38,13 of 22,51 of 139,3 of 5,0 of 0,Bruna Brasil,0,56 of 90,62%,73 of 111,2 of 3,66%,0,0,3:21,56 of 90,30 of 58,14 of 19,12 of 13,39 of 72,12 of 13,5 of 5
Flyweight Bout,Jafel Filho,Daniel Barez,False,Submission,1,3:26,,Marc Goddard,,Jafel Filho,0,21 of 54,38%,23 of 62,1 of 4,25%,1,0,0:55,21 of 54,11 of 40,8 of 9,2 of 5,21 of 54,0 of 0,0 of 0,Daniel Barez,1,18 of 30,60%,18 of 30,0 of 0,---,0,0,0:12,18 of 30,8 of 17,7 of 9,3 of 4,18 of 27,0 of 1,0 of 2
Women's Bantamweight Bout,,,False,Overturned,2,0:38,,Keith Peterson,,Holly Holm,0,27 of 39,69%,50 of 70,0 of 1,0%,0,0,3:05,27 of 39,15 of 24,10 of 12,2 of 3,21 of 31,6 of 8,0 of 0,Mayra Bueno Silva,0,20 of 37,54%,31 of 50,0 of 0,---,1,0,0:00,20 of 37,9 of 21,7 of 10,4 of 6,13 of 28,7 of 9,0 of 0
Women's Bantamweight Bout,,,False,Overturned,2,0:38,,Keith Peterson,,Holly Holm,0,27 of 39,69%,50 of 70,0 of 1,0%,0,0,3:05,27 of 39,15 of 24,10 of 12,2 of 3,21 of 31,6 of 8,0 of 0,Mayra Bueno Silva,0,20 of 37,54%,31 of 50,0 of 0,---,1,0,0:00,20 of 37,9 of 21,7 of 10,4 of 6,13 of 28,7 of 9,0 of 0
Welterweight Bout,Jack Della Maddalena,Bassil Hafez,False,Decision - Split,3,5:00,,Mark Smith,,Jack Della Maddalena,0,83 of 137,60%,149 of 212,1 of 2,50%,0,0,1:19,83 of 137,55 of 104,27 of 32,1 of 1,68 of 119,14 of 17,1 of 1,Bassil Hafez,0,32 of 124,25%,48 of 141,3 of 20,15%,0,1,6:48,32 of 124,29 of 117,2 of 6,1 of 1,28 of 118,4 of 6,0 of 0
Lightweight Bout,Francisco Prado,Ottman Azaitar,False,KO/TKO,1,4:05,,Chris Tognoni,,Ottman Azaitar,0,14 of 33,42%,16 of 36,0 of 0,---,0,0,0:00,14 of 33,6 of 20,7 of 11,1 of 2,12 of 28,2 of 5,0 of 0,Francisco Prado,1,38 of 57,66%,42 of 61,0 of 3,0%,0,0,0:49,38 of 57,31 of 46,2 of 6,5 of 5,17 of 30,1 of 1,20 of 26
Middleweight Bout,JunYong Park,Albert Duraev,False,Submission,2,4:45,,Mark Smith,,Albert Duraev,0,31 of 77,40%,35 of 83,1 of 2,50%,0,0,1:14,31 of 77,18 of 57,7 of 8,6 of 12,31 of 76,0 of 1,0 of 0,JunYong Park,1,50 of 96,52%,77 of 138,0 of 1,0%,3,0,1:59,50 of 96,41 of 85,4 of 5,5 of 6,47 of 93,2 of 2,1 of 1
Women's Featherweight Bout,Norma Dumont,Chelsea Chandler,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Norma Dumont,0,47 of 76,61%,98 of 141,3 of 3,100%,0,0,8:58,47 of 76,30 of 59,12 of 12,5 of 5,28 of 49,10 of 12,9 of 15,Chelsea Chandler,0,22 of 61,36%,72 of 124,1 of 3,33%,0,0,2:30,22 of 61,14 of 51,6 of 7,2 of 3,13 of 44,9 of 17,0 of 0
Lightweight Bout,Nazim Sadykhov,Terrance McKinney,False,Submission,2,1:07,,Keith Peterson,,Nazim Sadykhov,0,8 of 15,53%,20 of 27,0 of 0,---,1,1,0:55,8 of 15,6 of 11,0 of 1,2 of 3,6 of 13,0 of 0,2 of 2,Terrance McKinney,0,6 of 14,42%,21 of 34,2 of 5,40%,0,0,4:16,6 of 14,3 of 10,3 of 3,0 of 1,4 of 12,2 of 2,0 of 0
Featherweight Bout,Melsik Baghdasaryan,Tucker Lutz,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Tucker Lutz,0,36 of 109,33%,41 of 115,3 of 9,33%,0,0,6:19,36 of 109,14 of 71,16 of 28,6 of 10,34 of 105,2 of 4,0 of 0,Melsik Baghdasaryan,0,64 of 108,59%,74 of 122,0 of 0,---,0,0,0:42,64 of 108,32 of 66,30 of 40,2 of 2,50 of 88,11 of 16,3 of 4
Women's Strawweight Bout,Viktoriia Dudakova,Istela Nunes,False,KO/TKO,1,0:34,,Chris Tognoni,,Viktoriia Dudakova,0,3 of 11,27%,3 of 11,1 of 1,100%,0,0,0:06,3 of 11,1 of 7,2 of 4,0 of 0,2 of 10,0 of 0,1 of 1,Istela Nunes,0,2 of 6,33%,2 of 6,0 of 0,---,0,0,0:00,2 of 6,1 of 4,1 of 2,0 of 0,2 of 6,0 of 0,0 of 0
Featherweight Bout,Melquizael Costa,Austin Lingo,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Austin Lingo,0,39 of 139,28%,39 of 140,0 of 0,---,0,0,0:00,39 of 139,24 of 114,11 of 17,4 of 8,39 of 139,0 of 0,0 of 0,Melquizael Costa,0,100 of 220,45%,108 of 236,3 of 8,37%,1,0,2:44,100 of 220,39 of 133,48 of 73,13 of 14,93 of 209,6 of 9,1 of 2
Lightweight Bout,Evan Elder,Genaro Valdez,False,Decision - Unanimous,3,5:00,,Mark Smith,,Evan Elder,1,96 of 195,49%,96 of 195,1 of 1,100%,1,0,0:06,96 of 195,61 of 155,15 of 19,20 of 21,96 of 193,0 of 1,0 of 1,Genaro Valdez,1,64 of 236,27%,65 of 237,0 of 0,---,0,0,0:00,64 of 236,51 of 210,4 of 6,9 of 20,62 of 231,2 of 5,0 of 0
Flyweight Bout,Azat Maksum,Tyson Nam,False,Decision - Split,3,5:00,,Keith Peterson,,Tyson Nam,0,81 of 213,38%,98 of 242,0 of 0,---,0,0,0:30,81 of 213,27 of 149,19 of 28,35 of 36,79 of 209,2 of 4,0 of 0,Azat Maksum,0,46 of 189,24%,46 of 190,2 of 11,18%,0,0,0:22,46 of 189,33 of 167,12 of 21,1 of 1,46 of 183,0 of 6,0 of 0
Lightweight Bout,Alexander Munoz,Carl Deaton,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Alexander Munoz,1,44 of 111,39%,53 of 120,3 of 7,42%,0,0,3:54,44 of 111,37 of 99,6 of 11,1 of 1,27 of 87,2 of 3,15 of 21,Carl Deaton,0,37 of 108,34%,39 of 112,0 of 2,0%,0,0,0:00,37 of 108,29 of 97,8 of 11,0 of 0,36 of 106,1 of 2,0 of 0
Women's Bantamweight Bout,Ailin Perez,Ashlee Evans-Smith,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Ashlee Evans-Smith,0,12 of 47,25%,13 of 49,0 of 1,0%,0,0,0:08,12 of 47,6 of 40,2 of 3,4 of 4,7 of 40,5 of 7,0 of 0,Ailin Perez,0,60 of 104,57%,127 of 190,10 of 15,66%,0,0,11:36,60 of 104,50 of 87,7 of 11,3 of 6,12 of 32,14 of 23,34 of 49
UFC Featherweight Title Bout,Alexander Volkanovski,Yair Rodriguez,False,KO/TKO,3,4:19,,Herb Dean,,Alexander Volkanovski,0,66 of 97,68%,149 of 198,7 of 12,58%,0,0,7:13,66 of 97,48 of 69,4 of 5,14 of 23,25 of 45,4 of 6,37 of 46,Yair Rodriguez,0,40 of 80,50%,57 of 103,0 of 0,---,0,0,0:00,40 of 80,13 of 49,11 of 14,16 of 17,38 of 77,0 of 0,2 of 3
UFC Flyweight Title Bout,Alexandre Pantoja,Brandon Moreno,False,Decision - Split,5,5:00,,Jason Herzog,,Brandon Moreno,0,147 of 245,60%,167 of 265,2 of 4,50%,0,3,4:01,147 of 245,133 of 231,13 of 13,1 of 1,128 of 220,12 of 14,7 of 11,Alexandre Pantoja,1,129 of 274,47%,161 of 323,6 of 11,54%,0,0,8:26,129 of 274,106 of 247,20 of 22,3 of 5,104 of 239,13 of 21,12 of 14
Middleweight Bout,Dricus Du Plessis,Robert Whittaker,False,KO/TKO,2,2:23,,Marc Goddard,,Robert Whittaker,0,31 of 70,44%,32 of 71,1 of 1,100%,0,0,0:23,31 of 70,23 of 59,2 of 4,6 of 7,29 of 68,2 of 2,0 of 0,Dricus Du Plessis,1,62 of 104,59%,74 of 118,1 of 1,100%,0,0,0:57,62 of 104,38 of 77,11 of 13,13 of 14,41 of 77,8 of 10,13 of 17
Lightweight Bout,Dan Hooker,Jalin Turner,False,Decision - Split,3,5:00,,Mark Smith,,Jalin Turner,0,100 of 177,56%,113 of 191,1 of 3,33%,0,0,0:18,100 of 177,63 of 128,30 of 37,7 of 12,78 of 152,18 of 21,4 of 4,Dan Hooker,1,125 of 197,63%,172 of 247,0 of 2,0%,1,0,3:09,125 of 197,77 of 139,25 of 32,23 of 26,100 of 157,19 of 31,6 of 9
Middleweight Bout,Bo Nickal,Val Woodburn,False,KO/TKO,1,0:38,,Chris Tognoni,,Bo Nickal,1,7 of 10,70%,7 of 10,0 of 1,0%,0,0,0:02,7 of 10,7 of 10,0 of 0,0 of 0,6 of 9,0 of 0,1 of 1,Val Woodburn,0,2 of 9,22%,2 of 9,0 of 0,---,0,0,0:00,2 of 9,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0,0 of 0
